"UF";"Mês/Ano";"Valor Transferido";"Programa Social";
"TO";"10/2014";"- 6.786,41";"Seguro Defeso";
"CE";"11/2015";"- 5.359,75";"Seguro Defeso";
"Inválido";"06/2013";"- 3.677,75";"Seguro Defeso";
"Inválido";"09/2013";"- 3.569,46";"Seguro Defeso";
"GO";"05/2015";"- 3.362,96";"Seguro Defeso";
"RR";"02/2014";"- 3.320,74";"Seguro Defeso";
"Inválido";"03/2013";"- 3.181,33";"Seguro Defeso";
"RR";"01/2014";"- 2.733,73";"Seguro Defeso";
"MS";"08/2015";"- 2.427,54";"Seguro Defeso";
"RR";"10/2014";"- 2.407,98";"Seguro Defeso";
"MG";"10/2015";"- 2.243,29";"Seguro Defeso";
"MS";"10/2015";"- 1.893,20";"Seguro Defeso";
"Inválido";"01/2015";"- 1.825,50";"Seguro Defeso";
"Inválido";"07/2014";"- 1.693,88";"Seguro Defeso";
"Inválido";"11/2013";"- 1.626,10";"Seguro Defeso";
"Inválido";"04/2013";"- 1.613,64";"Seguro Defeso";
"RR";"11/2014";"- 1.476,65";"Seguro Defeso";
"Inválido";"12/2014";"- 1.182,69";"Seguro Defeso";
"Inválido";"08/2015";"- 1.166,90";"Seguro Defeso";
"PR";"08/2014";"- 802,23";"Seguro Defeso";
"RR";"11/2015";"- 627,61";"Seguro Defeso";
"Inválido";"10/2015";"- 601,56";"Seguro Defeso";
"GO";"11/2013";"- 595,96";"Seguro Defeso";
"PR";"10/2013";"- 593,84";"Seguro Defeso";
"Inválido";"06/2015";"- 581,62";"Seguro Defeso";
"Inválido";"03/2015";"- 560,34";"Seguro Defeso";
"Inválido";"07/2013";"- 531,93";"Seguro Defeso";
"Inválido";"01/2014";"- 523,42";"Seguro Defeso";
"Inválido";"04/2014";"- 518,45";"Seguro Defeso";
"AC";"06/2013";"- 451,74";"Seguro Defeso";
"GO";"09/2013";"- 401,01";"Seguro Defeso";
"MT";"11/2014";"- 337,97";"Seguro Defeso";
"TO";"09/2014";"- 221,66";"Seguro Defeso";
"Inválido";"05/2013";"- 30,21";"Seguro Defeso";
"DF";"08/2014";"40,00";"PETI";
"DF";"06/2013";"40,00";"PETI";
"DF";"09/2014";"40,00";"PETI";
"DF";"04/2013";"40,00";"PETI";
"DF";"10/2014";"40,00";"PETI";
"DF";"02/2014";"40,00";"PETI";
"DF";"06/2014";"40,00";"PETI";
"DF";"05/2014";"40,00";"PETI";
"DF";"05/2013";"40,00";"PETI";
"DF";"03/2014";"40,00";"PETI";
"DF";"01/2015";"40,00";"PETI";
"DF";"07/2013";"40,00";"PETI";
"DF";"09/2013";"40,00";"PETI";
"DF";"03/2013";"40,00";"PETI";
"DF";"01/2014";"40,00";"PETI";
"DF";"01/2013";"40,00";"PETI";
"DF";"12/2014";"40,00";"PETI";
"DF";"02/2015";"40,00";"PETI";
"DF";"04/2014";"40,00";"PETI";
"DF";"08/2013";"40,00";"PETI";
"DF";"10/2013";"40,00";"PETI";
"DF";"02/2013";"40,00";"PETI";
"DF";"12/2013";"40,00";"PETI";
"DF";"11/2013";"40,00";"PETI";
"DF";"11/2014";"40,00";"PETI";
"AP";"05/2015";"50,00";"PETI";
"AP";"01/2015";"50,00";"PETI";
